新源,#genre#
探索频道HD,http://pull-l3-cny.douyincdn.com/third/stream-34633761735b6c677356a7c551f89888.flv
动物星球HD,http://pull-l3-cny.douyincdn.com/third/stream-eac374df3c06e8985d587224a056f483.flv
卫视中文HD,http://pull-l3-cny.douyincdn.com/third/stream-41f29bf461ffa99e595f70b9593c61aa.flv
探索动力HD,http://pull-l3-cny.douyincdn.com/third/stream-ea6907626f7d64aa61e5ebf88180e43d.flv
探索科学HD,http://pull-l3-cny.douyincdn.com/third/stream-2ce10c5078ec753f8f50f4c3897e8f76.flv
东森幼幼HD,http://pull-l3-cny.douyincdn.com/third/stream-adb7cf254b46d42d58828f590a6137bf.flv
纬来体育HD,http://pull-l3-cny.douyincdn.com/third/stream-05fadffbceabeb97bbf09061a165791b.flv
中天新闻台,http://pull-l3-cny.douyincdn.com/third/stream-7898d38d54c60879ba96a1fa42edbd53.flv
星衛電影台, http://pull-l3-cny.douyincdn.com/third/stream-80d54eadb8f343a8b837c22e336155d1.m3u8
翡翠高清,http://137.175.36.206:8188/jade_twn/playlist.m3u8?tid=MDAD1890217018902170&ct=19249&tsum=36346362d72a1e85802fa5d3eee3861c
翡翠1,http://45.146.120.7/stv.php?id=b8ce1f1e
翡翠2,http://51.195.221.35/ukstv.php?id=b8ce1f1e
翡翠3,http://144.217.84.56/stv.php?id=b8ce1f1e
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://51.195.221.35/ukstv.php?id=b8ce1f1e
翡翠台,http://r.jdshipin.com/62WM7#http://xjayrf.eatuo.com:9901/tsfile/live/1004_1.m3u8
翡翠台9,http://23.237.10.66:16106/智博园达卡TV/tvbjade7367895023.m3u8
翡翠台0,http://113.64.147.33:8081/hls/67/index.m3u8
翡翠台11,,http://xjayrf.eatuo.com:9901/tsfile/live/1004_1.m3u8
翡翠台2,http://23.237.10.66:16106/zhiboyuandakaTV/tvbjade7367895023.m3u8
PEARL,http://113.64.147.33:8081/hls/26/index.m3u8
星空卫视,http://113.64.147.33:8081/hls/87/index.m3u8
CHANEL V,http://113.64.147.33:8081/hls/88/index.m3u8
TV星河,http://113.64.147.33:8081/hls/135/index.m3u8

华丽翡翠台,http://r.jdshipin.com/thuYX
澳洲莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8?zgangd
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php
澳门莲花,https://www.nettvpro.live/hls/lotustv.php
澳门莲花,http://nettvpro.live/hls/lotustv.php
星空卫视,http://27.47.71.177:8811/hls/31/index.m3u8
凤凰香港,http://27.47.71.177:8811/hls/32/index.m3u8
凤凰卫视,http://27.47.71.177:8811/hls/33/index.m3u8
香港台,http://27.47.71.177:8811/hls/34/index.m3u8
TVB星河,http://27.47.71.177:8811/hls/35/index.m3u8
PEARL,http://27.47.71.177:8811/hls/37/index.m3u8
龙祥时代,http://27.47.71.177:8811/hls/38/index.m3u8
私人影院,http://27.47.71.177:8811/hls/57/index.m3u8
东森电影,http://27.47.71.177:8811/hls/58/index.m3u8
东森洋片,http://27.47.71.177:8811/hls/59/index.m3u8
中国电影,http://27.47.71.177:8811/hls/61/index.m3u8
天映经典,http://27.47.71.177:8811/hls/62/index.m3u8

百事影视,https://bp-caster.bestv.com.cn/955/3/video.m3u8
百事影视2,https://bp-caster.bestv.com.cn/946/3/video.m3u8
百视独播3,http://tvmvip110.club/bs.php?id=128
百视独播4,http://tvmvip110.club/bs.php?id=247
百视独播5,http://tvmvip110.club/bs.php?id=144
百视自制,http://tvmvip110.club/bs.php?id=213
百视自制2,http://tvmvip110.club/bs.php?id=216
百视直播,http://tvmvip110.club/bs.php?id=146
百视TV1,http://tvmvip110.club/bs.php?id=27
百视TV2,http://tvmvip110.club/bs.php?id=33
百视TV3,http://tvmvip110.club/bs.php?id=41
百视TV4,http://tvmvip110.club/bs.php?id=52
百视TV5,http://tvmvip110.club/bs.php?id=59
百视TV6,http://tvmvip110.club/bs.php?id=76
百视TV7,http://tvmvip110.club/bs.php?id=96
百视TV8,http://tvmvip110.club/bs.php?id=186
百视TV9,http://tvmvip110.club/bs.php?id=193
百视TV10,http://tvmvip110.club/bs.php?id=201
百视TV11,http://tvmvip110.club/bs.php?id=218
百视TV12,http://tvmvip110.club/bs.php?id=229
百视TV13,http://tvmvip110.club/bs.php?id=228
百视TV14,http://tvmvip110.club/bs.php?id=246

⇨🇳｜重庆有线,#genre#
CCTV-1高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv1HD/__op/default/__f//index.m3u8
CCTV-2高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv2HD/__op/default/__f//index.m3u8
CCTV-3高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv3HD/__op/default/__f//index.m3u8
CCTV-4高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv4HD/__op/default/__f//index.m3u8
CCTV-5高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv5HD/__op/default/__f//index.m3u8
CCTV5+高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv5SportHD/__op/default/__f//index.m3u8
CCTV-6高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8
CCTV-7高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//index.m3u8
CCTV-8高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//index.m3u8
CCTV-9高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv9HD/__op/default/__f//index.m3u8
CCTV-10高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv10HD/__op/default/__f//index.m3u8
CCTV-11高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv11HD/__op/default/__f//index.m3u8
CCTV-12高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv12HD/__op/default/__f//index.m3u8
CCTV-13高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/CCTVNewsHD/__op/default/__f//index.m3u8
CCTV-14高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctvseHD/__op/default/__f//index.m3u8
CCTV-15高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv15HD/__op/default/__f//index.m3u8
CCTV-16高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv16HD/__op/default/__f//index.m3u8
CCTV16-4K,http://bytedance.live.cqccn.com/__cl/cg:live/__c/CCTV16_4K/__op/default/__f//index.m3u8
CCTV-17高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv17HD/__op/default/__f//index.m3u8
CCTV-4K,http://bytedance.live.cqccn.com/__cl/cg:live/__c/CCTV4K/__op/default/__f//index.m3u8
欢乐剧场4K,http://bytedance.live.cqccn.com/__cl/cg:live/__c/hxjc_4K/__op/default/__f//index.m3u8
东南卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/dongnanHD/__op/default/__f//index.m3u8
东方卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/shanghaiHD/__op/default/__f//index.m3u8
云南卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/yunnanSD/__op/default/__f//index.m3u8
北京卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/beijingHD/__op/default/__f//index.m3u8
吉林卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/jilinHD/__op/default/__f//index.m3u8
四川卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/sichuanHD/__op/default/__f//index.m3u8
天津卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/tianjinHD/__op/default/__f//index.m3u8
宁夏卫视,http://bytedance.live.cqccn.com/__cl/cg:live/__c/ningxia/__op/default/__f//index.m3u8
安徽卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/anhuiSD/__op/default/__f//index.m3u8
山西卫视,http://bytedance.live.cqccn.com/__cl/cg:live/__c/shanxiSD/__op/default/__f//index.m3u8
广东卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/guangdongHD/__op/default/__f//index.m3u8
广西卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/guangxiHD/__op/default/__f//index.m3u8
新疆卫视,http://bytedance.live.cqccn.com/__cl/cg:live/__c/xinjiangSD/__op/default/__f//index.m3u8
江苏卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/jiangsuHD/__op/default/__f//index.m3u8
江西卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/jiangxiHD/__op/default/__f//index.m3u8
河北卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/hebeiSD/__op/default/__f//index.m3u8
河南卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/henanHD/__op/default/__f//index.m3u8
浙江卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/zhejiangHD/__op/default/__f//index.m3u8
海南卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/hainanSD/__op/default/__f//index.m3u8
深圳卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/shenzhenHD/__op/default/__f//index.m3u8
湖北卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/hubeiSD/__op/default/__f//index.m3u8
湖南卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/hunanHD/__op/default/__f//index.m3u8
西藏卫视,http://bytedance.live.cqccn.com/__cl/cg:live/__c/xizangSD/__op/default/__f//index.m3u8
贵州卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/guizhouHD/__op/default/__f//index.m3u8
辽宁卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/liaoningHD/__op/default/__f//index.m3u8
重庆卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/chongqingHD/__op/default/__f//index.m3u8
青海卫视,http://bytedance.live.cqccn.com/__cl/cg:live/__c/qinghaiSD/__op/default/__f//index.m3u8
黑龙江卫视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/heilongjiangHD/__op/default/__f//index.m3u8
三沙卫视,http://bytedance.live.cqccn.com/__cl/cg:live/__c/sanshaSD/__op/default/__f//index.m3u8
教育卫视,http://bytedance.live.cqccn.com/__cl/cg:live/__c/sdjiaoyuSD/__op/default/__f//index.m3u8
兵团卫视,http://bytedance.live.cqccn.com/__cl/cg:live/__c/bingtuanSD/__op/default/__f//index.m3u8
重庆新闻高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/CQTVNewsHD/__op/default/__f//index.m3u8
重庆科教高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/CQTVkejiaoHD/__op/default/__f//index.m3u8
重庆影视高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cqyingshiHD/__op/default/__f//index.m3u8
重庆文体娱乐高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cqwtylHD/__op/default/__f//index.m3u8
重庆少儿高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cqseHD/__op/default/__f//index.m3u8
重庆时尚生活高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cqssgwHD/__op/default/__f//index.m3u8
重庆新农村高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/cqggncHD/__op/default/__f//index.m3u8
家有购物,http://bytedance.live.cqccn.com/__cl/cg:live/__c/jygw/__op/default/__f//index.m3u8
CCTV风云剧场,http://bytedance.live.cqccn.com/__cl/cg:live/__c/shandongHD/__op/default/__f//index.m3u8
书画,http://bytedance.live.cqccn.com/__cl/cg:live/__c/shuhua/__op/default/__f//index.m3u8
摄影,http://bytedance.live.cqccn.com/__cl/cg:live/__c/sheying/__op/default/__f//index.m3u8
车迷频道,http://bytedance.live.cqccn.com/__cl/cg:live/__c/doxtv/__op/default/__f//index.m3u8
SiTV都市剧场高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/dsjcHD/__op/default/__f//index.m3u8
SiTV魅力足球高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/mlzqHD/__op/default/__f//index.m3u8
SiTV动画秀场高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/dmxcHD/__op/default/__f//index.m3u8
SiTV游戏风云高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/yxfyHD/__op/default/__f//index.m3u8
求索纪录高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/qsjlHD/__op/default/__f//index.m3u8
CHC高清电影,http://bytedance.live.cqccn.com/__cl/cg:live/__c/chcgqdyHD/__op/default/__f//index.m3u8
CHC动画,http://bytedance.live.cqccn.com/__cl/cg:live/__c/chcdzdyHD/__op/default/__f//index.m3u8
CHC家庭影院,http://bytedance.live.cqccn.com/__cl/cg:live/__c/chcjtyyHD/__op/default/__f//index.m3u8
央视风云剧场高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/fyjcHD/__op/default/__f//index.m3u8
CCTV风云音乐高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/fyyyHD/__op/default/__f//index.m3u8
CCTV风云足球高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/fyzqHD/__op/default/__f//index.m3u8
央视怀旧剧场高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/hjjcHD/__op/default/__f//index.m3u8
央视第一剧场高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/diyijuchangHD/__op/default/__f//index.m3u8
央视兵器科技高清,http://bytedance.live.cqccn.com/__cl/cg:live/__c/bqkjHD/__op/default/__f//index.m3u8

小果源,#genre#
CCTV1,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-1H265_4000.m3u8
CCTV2,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-2H265_4000.m3u8
CCTV3,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-3H265_4000.m3u8
CCTV4,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-4H265_4000.m3u8
CCTV5,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-5H265_4000.m3u8
CCTV5+,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-5plusH265_4000.m3u8
CCTV6,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-6H265_4000.m3u8
CCTV7,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-7H265_4000.m3u8
CCTV8,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-8H265_4000.m3u8
CCTV9,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-9H265_4000.m3u8
CCTV10,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-10H265_4000.m3u8
CCTV11,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-11-H265_4000.m3u8
CCTV12,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-12H265_4000.m3u8
CCTV13,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-xw_4000.m3u8
CCTV14,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-14H265_4000.m3u8
CCTV15,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-15-yyH265_4000.m3u8
CCTV16,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-16_4000.m3u8
CCTV17,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CCTV-17_4000.m3u8
CGTN,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CGTN_4000.m3u8
CGTN-西语,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/xbyy_4000.m3u8
CGTN-法语,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/fy_4000.m3u8
CGTN-俄语,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/ey_4000.m3u8
种养新影-老故事,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/lgs_4000.m3u8
种养新影-发现之旅,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/fxzl_4000.m3u8
种养新影-中学生,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/zxs_4000.m3u8
央广购物,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/yggwgq_4000.m3u8
书画频道,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/sh_4000.m3u8
中国天气,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/zgqx_4000.m3u8
CETV1,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CETV-1H264_4000.m3u8
CETV2,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CETV-2_4000.m3u8
CETV4,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/CETV-4H264_4000.m3u8
CHC高清电影,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/lnwsCHC-HDH265_4000.m3u8
CHC动作电影,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/wqCHCdzdyH265_4000.m3u8
CHC家庭影院,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/jbtygqCHCjtyyH265_4000.m3u8
北京卫视,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/bjwsH265_4000.m3u8
东方卫视,http://[2408:8722:6900:0:40::]/livehkkp.chinamcache.com/live/dfwsH265_4000.m3u8
