💞月光宝盒,#genre#
FOX新闻,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
俄罗斯中文台,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
俄罗斯红星电视台,https://tvchannelstream1.tvzvezda.ru/cdn/tvzvezda/playlist_hdhigh.m3u8
美国mytime电影频道[1920*1080],https://mytime-tcl.amagi.tv/playlist1080-p.m3u8?blog.ntnas.top
LiveNOW from FOXN,https://fox-foxnewsnow-samsungus.amagi.tv/playlist480p.m3u8
AXS TV NOW,https://dikcfc9915kp8.cloudfront.net/hls/1080p/playlist.m3u8
CMM TV,http://cdnapi.kaltura.com/p/2288691/sp/39582391/playManifest/entryId/0_xs45iy5i/format/applehttp/.m3u8
法国时尚1,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
法国时尚2,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
日本全天新聞 (480p),https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
日本QVC,http://cdn-live1.qvc.jp/iPhone/800/800.m3u8
日本购物2,http://stream1.shopch.jp/HLS/out2/prog_index.m3u8
MTV,http://pluto-live.plutotv.net:80/egress/chandler/pluto01/live/VIACBS03/master.m3u8
电影音乐USA,https://cmctv.ios.internapcdn.net/cmctv_vitalstream_com/live_1/CMCU-92/chunklist.m3u8
经典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
CHC动作电影,http://125.40.191.58:9901/tsfile/live/1002_1.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1#http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC家庭影院,http://125.40.191.58:9901/tsfile/live/1001_1.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8#http://gxfrg007.8800.org:8282/tsfile/live/1096_1.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240323_1/playlist.m3u8?CONTENTID=00000110240323_1#http://117.148.179.151/PLTV/88888888/224/3221231799/index.m3u8
CHC高清電影,http://gxfrg007.8800.org:8282/tsfile/live/1097_1.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1  
J2,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8


🌏 • 环球,#genre#
CGTN-纪录,https://livedoc.cgtn.com/1000d/prog_index.m3u8
CGTN-英语,http://live.cgtn.com/1000/prog_index.m3u8
CGTN-拉美,http://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
CGTN-Français(法语),http://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN-Pусский(俄语),http://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
CGTN-العربية(阿语),http://livear.cgtn.com/1000a/prog_index.m3u8?zshijd
KBC SBS,http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8
KBS World,http://119.200.131.11:1935/KBCTV/tv/chunklist_w1042583097.m3u8
MTN,http://183.110.27.87/mtnlive/_definst_/720/chunklist.m3u8
MTV WMA,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS08/master_2400.m3u8
MTV Yo,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS01/master_2400.m3u8
NHK World,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS01/master_2400.m3u8
otpaha,http://live.stranafm.cdnvideo.ru/stranafm/stranafm_hd.sdp/chunklist.m3u8
TJB SBS,http://1.245.74.5:1935/live/tv/chunklist_w1102717237.m3u8
TBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
越南CTV,http://tv.ctvcamau.vn/live/tv/tv.m3u8
老挝,http://uni6rtmp.tulix.tv:1935/vbstv/vbsabr.smil/chunklist_w2034338659_b204800.m3u8
印尼TVRS,http://wpc.d1627.nucdn.net/80D1627/o-tvri/Content/HLS/Live/Channel(TVRI4)/Stream(03)/index.m3u8
印尼TVRK,http://wpc.d1627.nucdn.net/80D1627/o-tvri/Content/HLS/Live/Channel(TVRI3)/Stream(03)/index.m3u8
伊朗,http://iptv.tapesh.tv/tapesh/playlist2/index.m3u8
pasarmenac,http://51.210.199.27/hls/stream.m3u8
pasarmenad,http://51.210.199.23/hls/stream.m3u8
pasarmenam,http://51.210.199.24/hls/stream.m3u8
pasarmenan,http://51.210.199.20/hls/stream.m3u8

🇺🇸｜欧美,#genre#
ABC新闻,http://cms-wowza.lunabyte.io/wbrz-live-1/_definst_/smil:wbrz-live.smil/chunklist_b1300000.m3u8
波兰ⅠTVKujawy(Opt-1),http://stream.tvkujawy.pl:8080/live/broadcast.m3u8
丹麦ⅠTV2Bornholm,http://live.tv2bornholm.dk/stream/live/chunklist.m3u8
丹麦ⅠTV2Lorry,http://cdn-lt-hls-vod.tv2lorry.dk/fhls/p/2045321/sp/204532100/serveFlavor/entryId/0_0u9letdh/v/1/flavorId/0_p5f7q6yf/name/a.mp4/index.m3u8
NEWS24,http://tv.balkanweb.com:8081/news24/livestream/chunks.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8?zshijd
斯洛伐克TV8,http://109.74.145.11:1935/tv8/mp4:tv8.stream_360p/chunklist_w974670813.m3u8
斯洛伐克TVNZ,http://s1.media-planet.sk:80/live/novezamky/BratuMarian.m3u8
波兰ⅠTVKujawy(Opt-1),http://stream.tvkujawy.pl:8080/live/broadcast.m3u8
丹麦ⅠTV2Bornholm,http://live.tv2bornholm.dk/stream/live/chunklist.m3u8
丹麦ⅠTV2Fyn,http://cdn-lt-hls-vod.tv2fyn.dk/fhls/p/1966291/sp/196629100/serveFlavor/entryId/0_yct7rqn3/v/2/flavorId/0_h2wfmuqm/name/a.mp4/index.m3u8
秘鲁ⅠTVPeru,http://www.radiosargentina.com.ar/php/tvm3u.php?id=DIPE0003&mode=12
乌克兰ⅠNews,http://85.238.112.40:8810/hls_sec/239.33.16.32-.m3u8
乌克兰BAM,http://cdn1.live-tv.od.ua:8081/bbb/bbbtv-720p/playlist.m3u8
EBS1,http://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/chunklist_w1239510414.m3u8
EBS2,http://ebsonairios.ebs.co.kr/ebs2familypc/familypc1m/chunklist_w1989043521.m3u8
EBSE,http://ebsonairios.ebs.co.kr/plus3familypc/familypc1m/chunklist_w1432952310.m3u8
KBC,http://119.200.131.11:1935/KBCTV/tv/chunklist_w280046572.m3u8

🇷🇺｜俄国,#genre#
俄罗斯GITV,http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8?zshijd
俄罗斯中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
俄罗斯音乐频道,http://rtmp.one.by:2200/
俄罗斯MostVideoTV1,http://w4.mostvideo.tv/tv/ch1.m3u8
俄罗斯RBC(Opt-1),http://92.50.128.180/utv/1358/index.m3u8
俄罗斯TjumenskoeVremja,http://streams.sibinformburo.cdnvideo.ru/sibinformburo/sibinformburo.sdp/playlist.m3u8
俄罗斯TROSoyuz,http://live2.mediacdn.ru/sr1/tro/playlist.m3u8
俄罗斯UgraTV,http://live.ugratv.cdnvideo.ru/ugratv/smil:ugrastream1.smil/playlist.m3u8
RUTV,http://92.50.128.180/utv/1358/index.m3u8
Comedy,http://51.210.199.27/hls/stream.m3u8
Family,http://51.210.199.19/hls/stream.m3u8
Iranian,http://51.210.199.22/hls/stream.m3u8
Music,http://51.210.199.24/hls/stream.m3u8
Nostalgia,http://51.210.199.20/hls/stream.m3u8
Technology,http://51.210.199.25/hls/stream.m3u8
俄罗斯中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8

🏯｜亚洲,#genre#
亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8?zshijd
CNC英文,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8?zshijd
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8?zshijd
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
NHK·国际,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8?zshijd
CGTN Documentary,https://livedoc.cgtn.com/500d/prog_index.m3u8?zshijd
CGTN Русский,http://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
CGTN阿拉伯语,http://livear.cgtn.com/1000a/prog_index.m3u8?zshijd
